brand,menu,category,calories,protein,fat,carbs,sodium,allergens,source_url,source_date,verified,allergen_known,image_url,description,media_source_url,media_checked_at,allergy_source_url,price,price_note,price_source_url,price_checked_at
이디야,(EX) 토피넛 플랫치노,음료,577.0,10.0,16.0,67.0,213.0,우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 생강차,음료,241.0,0.0,0.0,51.0,19.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) 콜드브루 라떼,음료,156.0,7.0,5.0,11.0,117.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) 망고주스,음료,460.0,2.0,0.0,106.0,6.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) HOT 로열 밀크티,음료,325.0,10.0,7.0,42.0,163.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) HOT 미숫가루 라떼,음료,524.0,19.0,12.0,31.0,357.0,우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,이디야 콤부차 복숭아 망고,음료,142.0,0.0,0.0,32.0,0.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 카푸치노,음료,140.0,6.0,5.0,10.0,98.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 카페 아메리카노,음료,11.0,0.0,0.0,0.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) 연유 콜드브루,음료,313.0,9.0,6.0,41.0,136.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) HOT 유자차,음료,315.0,1.0,0.0,66.0,7.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) HOT 로열 밀크티,음료,476.0,14.0,11.0,62.0,235.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) 딸기주스,음료,332.0,1.0,0.0,80.0,16.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,이디야 콤부차 청포도 레몬,음료,142.0,3.0,0.0,32.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) HOT 배모과차,음료,184.0,0.0,0.0,41.0,16.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) 키위케일샐러리클렌즈주스,음료,185.0,0.0,0.0,41.0,19.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) 아샷추 복숭아,음료,252.0,0.0,0.0,59.0,18.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 유자차,음료,223.0,0.0,0.0,46.0,5.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) 복숭아 아이스티,음료,247.0,0.0,0.0,59.0,18.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
